conversation,class
가위바위보 해서 딱 저녁 맞 기 하 자마자 그래 ! 가위바위보 캐치 내 가 이겼 으며 퍽 ! ? 내고 가 보자기 고 플리트 주먹 인데 ? 그래 내 가 이겼 잖아 엥 내 가 이겼 어 그냥 잔말 들어맞 고 맞 아 그러 새꺄 너무 해 퍽퍽퍽 봐 봐 내 놀드 이겼 지 아 찌르 지 마,기타 괴롭힘 대화
인마 항상 그런 식과 이 야 . 사망 고 싶 나 ... 조금 만 더 분간 을 주 시 ㄴ다면 . 넌 안 이루어지 겠 다 . 플리트 이 세상 하직 시키 고 싶 은 형상 인데 아 아닙니다 그러 새끼 가 어디 불쌍히 말 을 끊 어서 . 세상 하직 시키 고 편히 쉬 도록 해 줄께 아닙니다 는데 이번 만 봐 주기도 세요 내일 까지 반드시 구하 겠 습니다 이게 끝 까지 . 에드 생매장 당해 볼래 ... 한 번 만 던 믿 어 주 ㅂ시오 꼭 약속 지키 싶 습니다 하루 만 벌레 기다려 준다 실망 꾀하 지 마 알 싶 습니다,협박 대화
길동 씨 오늘 회식 올꺼 지 ? 저번 엔 빠지 면 못가 돼 아 부장 귀하 오늘 제 가 월과 이 있 어서 는데 아니 길동 씨 ㄴ다는 어떻게 회식 때 씩 일 이 있 나의 ? 어제 말씀 해의 주 셔서 이미 붙잡 은 약속 을 깰 수 가 없 였 어요 . 길동 정씨 는 항상 그래 는데 매번 회식 때 씩 피하 고 . 회식 도 일 의 대부분 라는 걸 모르 나의 ? 죄송 합니다 는데 죄송 하 면 아침 회식 참석 해 는데 약속 이 중요 감미 ? 회사 일 그러 중요 하 지 아침 부모 님 모시 기에 가 기 로 한두 거 라서요 . 사카이 자꾸 이런 식 으로서 나오 면 나 때문 자네 못 봐 줘 . 한다한다 하 길래 매번 이런 식 그러 면 회사 를 때려치우 든가 죄송 합니다 는데,직장 내 괴롭힘 대화
다리 하나 분 질러야 정신 차리 겠 어서 ? 다 살 고자 이러 는 거 아닙니까 난 알 바 놀드 아냐 . 그러 토비 하 란 거 나의 제대로 해 ! 아유 선생 님 이게 저 의지 대로 안 돼요 미친 새끼 그거 좀처럼 못 하 면 닌 등신 이 야 ... 죄송 해요 이것 좀처럼 못 하 면 좇 엔 다리 로 만이 안 끝난다 . 도대체 어디 를 . 그따위 로 하 면 재미없 을 줄 만 울 라고 알 겠 네요 .,협박 대화
오늘 자리 에 음료 가 없 네 ... 아 말씀 을 일일이 안 해 주 셔서 . 커피 필요 시키 시 면 가져오 싶 습니다 . 아니 됐 어 일 하 ㄴ다는 센스 정말 없 카나 죄송 합니다 . 지난 번 에 는 음료 놓 지 말 이라고 하 셔서 미리 올려놓 지 않 았 으며 어디 서 말대꾸 야가 ? 오늘 안 그래도 회의 하 다가 놀라 는 일 투성이 그러 인데 죄송 합니다 는데 커피 가져 올게요 야가 됐 어 가져 오지마 다음 부터 는 못가 그러 겠 습니다 는데,직장 내 괴롭힘 대화
야 너 진짜 못하 생겼 다 . 갑작스레 왜 그래 . 얼굴 이 왜 이렇게 얇 냐 . 키 때문 작 은 게 는데 친구 야 . 말로 이 심하 다 는데 내 가 왜 카나 친구 야 . 나의 못생긴 애 들 아줌마 친구 안 해 는데 자리 좀 비켜 줬 으면 좋 겠 어서 . 싫 은데 ... 나 못생긴 애 부유층 한테 는 양보 못가 해 . 왜 그럼 나 한테 그러 으며 . 왜 그러 싶 니 ? 네 놀드 못생긴 게 죄 꼼짝 . 그만 좀 해의 줘 .,기타 괴롭힘 대화
김비 서 커피 조금 타 오 게 카나 알 겠 습니다 야가 너 일로 좀 와봐 커피 타 는 도록 싫 어 ? 과연 인상 을 찡그려 어떠하 그게 아니 라 가람 가 커피 타 고자 취직 한 것 때문 아니 고 머 이라고 지금 장난 해 ... 사무직 갇 은 방법 도 또 바로 못하 하 면서 커피 나의 좀 타 라고 했 더니 지금 불평 시키 는 건가 ? 그게 아니 라 됐 기에 일 하 기 힘들 으면 그냥 직장 를 그만둬 나 도 에드 같 은 직원 불필요 없 어 너 없었 어도 할 사람 수많 아 죄송 합니다 곧바로 는 안 그렇 싶 습니다 그럼 나가 불쌍히 경위서 작성 하 기에 감봉 조치 하 싶 네 네 알 싶 습니다,직장 내 괴롭힘 대화
야 저기 장애 인은 봐 바 웃기 꼼짝 않 냐 그러 도록 꼽추 야 무슨 ... 야 내 가 바닷물 한 번 뿌려 테일 게 어 이 대학생 들 어르신 한테 ... 하 는 건가 아빠 는 뭔데 끼 어서 드세요 맞 아요 뭐 상관 이 에요 그러 학생 들 안 이루어지 겠 네 장애 인은 비하 하 고 폭력적 까지 . 경찰 불쌍히 가 고 싶 나의 신고 해 보 든지요 참나 이상 한 아빠 네 . 언능 꺼져라 좋 은 말 때때 때,기타 괴롭힘 대화
우와 무슨 일 로서 이렇게 짧 은 바지 를 ? 오늘 근육 쓰 고 나오 래서 . 한 번 입히 어 봤 어 좋 아 ? 예쁘 카나 ! 근데 속바지 입히 었 어 ? 야가 ! 넌 그런 쉐 확인 한다고 밖 오세아니아 치마 를 들 ㄴ다면 어떡 해 ! 캐치 아 맞 다 죄송 . 내 가 오류 했 네 지금 그게 미안 하 다고 될 일 이 야 ... 이렇게 사람 많 은데 데 에서 . 에드 진짜 너무 하 으며 . 뭐 어때 ... 속바지 도 입 였 구만 왜 이렇게 까칠 하 게 굴 어서 ? 아니 지금 내고 가 속바지 를 입히 었 으니까 니 언동 이 괜찮 다는 것 야 ? 야 오인 하 지 마 는데 어차피 너 다 늘어놓 고 다닌다고 사람 부유층 이 너 한테 불만 이 나 주 ㄴ다는 줄 알 아 ... 사람 들 이 불만 을 주 고 못가 주 고 의 문제점 가 아니 잖아 는데 너 가 내 바지 를 밖 에서 걸어가 어 올리 는 언동 이 잘 된 것 냐고 !,기타 괴롭힘 대화
야 너 왜 엄마 가 없 어 ... 어렸 을 때 약혼 하 셨 대 그래 ? ? 그럼 토비 네 엄마 가 거기 너 키우 는 것 야 ? 어 는데 너 랑 니 카나 엄마 가 질리 도록 해서 니 네 엄마 가 도망간 거 어떠하 야 ? 아니야 캐치 그런 말 이 어딨 어 아니 우리 엄마 는 절대 우리 다섯 고 이혼 안 시키 니까 하 는 말로 이 지 아빠 놀드 손찌검 을 좀 시키 셨 어 그래 ... ? 너 랑 아빠 가 되게 잘못 를 많이 하 고 사나 보다 맞 고 살아오 았 던 거 살펴보 면 그런 거 어떠하 야 ! !!!!!!!!!!!,기타 괴롭힘 대화
야 이게 뭐 뇰 ? 드 드론 는데 드 드드 드론 는데 새끼 말 더듬 ㄴ다는 거 봐 . 아서 안 더듬 었 어서 . 야 나 때문 해 보 자 는데 줘 봐 . 그러 이거 비 비싼 건데 . 누가 부 콩나물 ? 씨 그냥 번 나 도 해 본다고 . 아 안 돼 . 내놔 . 못가 놓 으면 부서진다 ... 아 .,갈취 대화
에스프레소 하나 에 물방울 컵 네 개 줘요 . 네 ? 구경꾼 . 에스프레소 는 물방울 이 나가 지 못하 습니다 . 아 아서 는데 친구 들 아줌마 나눠 먹 게 조금 달 라고 그러 ㄴ다면 아메리카노 4 잔 를 시키 는 건 어떨까 요 ? 아우 우린 연하 게 먹 어서 . 그리고 빨대 조금 많이 줘요 . 구경꾼 에스프레소 는 따뜻 한두 거 라 빨대 놀드 필요 없 습니다 는데 알 아 ! 곁 에 가 서 읽 려고 그래 . 조금 줘 봐 손 귀하 죄송 하 지만 규율 상 어렵 습니다 는데 뭐 이렇게 안 이루어지 는 게 많 아서 ? 장사 하 적기 싫 어 ? 의아 합니다 만 안 됩니다 .,기타 괴롭힘 대화
보고서 가 이게 ... 야 ? 발 로서 썼 나 ? 의아 합니다 . 열심히 했 는데 열심히 하 ㄴ다는 게 중요 한 도록 아니 라 잘 해야지 죄송 해요 . 곧바로 해 올게요 다시 한다고 될까 ? 대학 은데 나온 건가 ? 대학교 은 나왔 어요 대드 는 건가 ? 막가 자는 거 지 ... 아니요 그건 아니 군요 꼭 일 못 시키 는 것 들 그러 잔 말 이 수많 지 죄송 합니다,직장 내 괴롭힘 대화
저기요 네 ? 현상금 좀 빌립시다 죄송 해요 돈 이 없 는데요 좋 게 이야기 시키 려 했 는데 못가 되 겠 군 과연 그러 세요 돈 훔치 기 는 무슨 는데 있 는 돈 조금 나 한테 주 꼼짝 그럴 돈 이 라서 더 없 어요 지갑 이 좋 아 보여주 는데 돈 도 자주 들 어 있 싶 군 돈 없 는데요,갈취 대화
너 지 ? 나의 신고 한 사람 그러 ? 무슨 말 판별 모르 겠 네요 는데 니 가 주차 저촉 이 라고 신고 했잖아 ! 제 가 그랬 단 증거 있 는데요 ? 그럼 너 외 에 더 있 어서 ? 맨날 내 훼방 만 놓 잖아 는데 제 가 안 그랬 고 만약 그랬 더라도 본인 잘못 이 에요 남 의 집 옆 에 불법 주차 시키 셨잖아요 . 야 잠시 주차 한 것 갖 고 신고 를 해의 ? 잠깐 이 어떠하 잖아요 전화 도 못가 받 고 차 때문 안 빼 고 남의 의 집 앞 오세아니아 그러 시 면 못가 되 죠 . 내고 가 이 동네 토박 인데 니 가 뭔데 이래라 저래 라야 에드 몇 살 이 야가 ? 아주 이번 이에 박살 을 내버릴 것 야 ! 너 변덕 해 수틀리 면 에드 죽 고 나 사망 는 거 야 캐치 ! 무슨 말 를 그렇게 무섭 게 시키 세요 .,협박 대화
어 이 거기 연인 잠시 와봐 네 제 요 ? ? 알리 너 말 고 누가 있 냐 ? 3 초 준다 튀 어서 와라 네네 너 몸통 에 바른 거 ... 야 ? 색깔 이쁘 다 이거 에 오자키 그래그래 이쁘 다 뭐 이리 내놓 고 놀드 던 길 가 카나 ? ? 어딜 짜 라 봐 미쳤 토비 ? 맞 기 직전 에 가 라 못가 돼요 돌려주 세요 뭐 생일 선물 로 넘겨받 은 거 란 말로 이 에요 어쩌 이라고 다른 거 까지 털리 기 싫 으면 현재 3 초안 에 부풀 어 가 라 못가 돼요 제발 돌려주 ㅂ시오,갈취 대화
저기요 이제 그만 올라오 셔야죠 자식 들 원망 하 잖아요 나 플라스마 전염 안 됐 다니까 왜 들 그래 현재 자식 들 검사 으며 받 으셨어요 이제 어머님 만 검사 받 계시 면 돼요 내 놀드 확진 될 리 놀드 없 다니까 그러 카나 썩 꺼져 어머님 젊은이 들 한테 다 감염 시키 고 싶 으세요 일단 모르 니까 신체검사 받자 고요 아니 언제 서 철 밥통 줄거리 에 언성 을 높혀 어머님 자꾸 이러 시가 면 강제 로 데려 갈 수 밖에 없었 어요 이게 뭐 놀드 어쩌 고 저째 만일 내 가 감염 됐 다면 너 도 전염 시켜 줘 어머님 진정하 하 세요 시끄러워 다음해 와 이 녀석 아서 전염 시켜 줄게 야가 피해 도망쳐 경찰 경찰관 불러,협박 대화
야 너 반 곳곳 에서 산 다며 ... 응 . 그게 과연 ? 헐 나 똑같 으면 벌레 엄청 올라오 는 반 지하 오세아니아 는 못 살 싶 다 . 벌레 없었 고 살만 해 좋 아 . 너희 자녀 님 은 돈 그러 없 대 ? 진숙 야 ? 무슨 말로 을 그렇게 해 는데 아니 그냥 불쌍 영광송 우리 집 은 요번 에 아파트 로 취체역 갔 잖아 너무 괜찮 더라 그렇 구나 괜찮 겠 네 . 반지하 보다 는 훨씬 괜찮 지 종종 놀러 와도 그래,기타 괴롭힘 대화
민수 야 너 잠시 이리 와봐 . 어디 세요 . ? 나의 ? 니 네 형의 친구 야 . 아서 . 안녕 하 ㅂ시오 . 어디 가 ㄴ다는 길 이 니 ... 저 학원 가 기에 있 어요 . 아서 맞 다 . 에드 우리 학원 다니 꼼짝 ? 네 ? 아서 . 형 도 그러 학원 다니 시 는구나 . 근데 오늘 학교 비 내 는 첫날 인 거 알 꼼짝 ? 그럼 너 학교 비 가져왔 겠 카나 ? 네 . 아빠 가 주 셔서 학교 가 서 드리 려구요 . 내 가 내고 학원 비 드리 며 니 학원 비 때문 같이 내 줄게 는데 일단 학원 비 형의 한테 줄래 ? 카나 ? 아니 에요 는데 제 가 가 불쌍히 직접 드릴 수 없 어요 . 오늘 못가 내 고 내일 내고 도 되 니까 보류 형 한테 좀 줘 봐 . 형 그러 급하 게 써야 영광송 쓰 고 내일 토비 꺼 까지 내 준다니까 ? 안 돼요 는데 엄마 가 아 시가 면 엄청 혼나 오자키,갈취 대화
할머니 돈 좀 빌려 주 세요 왜 ... 담배 사 게 오자키 이것 들 이 호시 첬나 ? 할머니 현상금 많 잖아 이리 부유층 와 혼 좀 나의 야겠다 할머니 가 뭔데 경찰 서 가 자마자 거기 주머니 에 현상금 보이 네 이건 못가 돼,갈취 대화
강 대리 나 바빠서 그러 는데 이것 조금 부탁 해 네 울 겠 습니다 거기 별칭 은 내 이름 으로서 적 고 알 꼼짝 ? 아 네 및 심대 리 우리 책임자 은 따 인 것 알 지 ? 필두 해 주 지 마가 라 네 . 울 겠 습니다 차장 귀하 강대 리도 그렇게 못가 되 려면 어떻게 해야 하 는지 알 꼼짝 ? 네 차장 귀하 차장 님 일 그러 제일 이 죠 그래 잘 해 놔 카나 .,직장 내 괴롭힘 대화
야 나 한테 정보 선물 좀 해 줘 데이터 ? 나 때문 부족 한데 한 달이 쓰 기 에 야가 나 는 벌써 으며 썼 어 너 ㄴ다는 왕 따라 연락 때때 데 도 없 잖아 아니야 인강 도 봐야 해 아 공부 때문 잘 하 는 암컷 가 인강 한두 번의 본다고 안 죽 어서 그 . 그래도 지루 하 게 하 꼼짝 말 고 얼른 정보 보내 라 맞 기에 보 낼래 ? 는데 알 겠 어 는데 얼른 보내 보냈 어서 ? 지금 보내 기에 있 어,갈취 대화
팀장 님 응 제 일 이 없 으며 . 할 줄 아서 는 게 없 잖아 기다려 네 . 신길 씨 는 왜 그럼 아무것 도 안 시키 고 자리 에 만이 앉 아 있 어서 ? 네 ? 월과 이 없 어서 월과 이 없 으면 조금 찾 아서 해 그럼 도와 드릴 일 없 나요 ? 없 어서 . 찾 아 봐 .,직장 내 괴롭힘 대화
저기 이걸 지금 서치 라고 판매 하 ㄴ다는 거 에요 ? 카나 무슨 일 이 신가요 ? 아니 사이다 놀드 원래 이렇 게 달이 아 ? 대체 시럽 을 얼마나 넣 였 길래 그러 냐고 의아 합니다 손님 . 어묵 는 완제품 으로 올라오 는 거 라 그분 가 단맛 을 업데이트 하 지 않 ㄴ다는 이상 시중 에서 먹 는 맛 그대로 입니다 . 머 라고 ... 지금 나 랑 욕설 해 ? 죄송 합니다 손 님 됐 기에 환불 해 줘 카나 ? 이미 다 드신 음료 는 환불 해의 드리 기 가 조금 어렵 습니다 . 피터 라고 ? 여기 부사장 누구 야 ? 부사장 누군데 직원 교육 를 이따위 로 시켜 알리 폐업 하 게 해의 줘 ? 죄송 합니다 손님 . 환불 해의 드리 겠 습니다 는데,기타 괴롭힘 대화
정말 왜 그러 ㅂ시오 . 재밌 잖아 는데 너 가 아파하 ㄴ다면 희열 을 느껴 통지 할 거 에요 해의 봐 하 면 카나 몸뚱아리 를 칼 로서 갈기갈기 찢 어 버릴 테 니까 죄송 해요 . 죄송 할 건과 없 어 . 아무래도 오늘 이 마지막 그러 될 테 니까 사망 어 버려 제 놀드 뭘 그렇게 잘못 했 다고 그러 세요 는데 그냥 맘 에 못가 들 어서 원 시키 시 는 대로 으며 할게요 원 하 ㄴ다는 대로 ?,협박 대화
너 무슨 빽 없 니 ? 맨날 이딴 식 으로 일 해의 놓 고 그렇게 뻔뻔 해 ? 아닙니다 야가 회사 가 장난 그러 야 ? 니 놀드 맨날 사고 치 기에 일 도 못하 으며 돈 은 주 길래 만만 하 니 ... 아닙니다 . 넌 굳이 마음 에 안 부유층 어 . 출근 시키 는 꼬라지 하고 ㄴ다는 죄송 합니다 눈 비스듬히 치켜뜨 지 말 기에 알 아서 잘 적기 라고 . 짤리 기에 싶 어 ? 의심 이 십니다 . 의심 는 무슨 . 플리트 그냥 앞 으로 진급 꿈 도 꾸지 마가 알 겠 어 ... 죄송 합니다 .,직장 내 괴롭힘 대화
야 안인 턴 에드 가 일 처리 을 그 따위 로 시키 니까 내 가 본부장 님 한테 혼 나의 잖 아 아니 직전 그냥 서류 정리 을 하 는 업무 인데 제 가 서류 사항 을 건 든 도록 아니 잖아요 야 그럴 리 가 있 뇰 먼저 잘 한 메커니즘 이 먼저 보여 꼼짝 도록 해야지 미친 방법 아 아니 그런 방법 까지 어떻게 신경 써요 아니 나 한테 대들 어 ? 야 종업원 들 너희 입다물 기에 다 야근 이 야가 업무 처리 할 도록 많 을 줄 울 아 아 나 안국 턴 진짜 가지가지 소리치 아니 지금 뭐 시키 시 는 건가요 ... 야 귀 없 어서 ? 당장 일 해의 귀머거리 야 아이고 주식회사 잘 돌아간다 오 뇰 어디 끝 가지 해의 보 자,직장 내 괴롭힘 대화
알바 생 이리 조금 와 봐요 . 카나 손 님 뭐 불필요 하 신 거 없 으신 가요 ? 알리 짬뽕 에 이상 한두 게 들 어 없 어요 . 제 놀드 살펴봐도 될까요 ? 잠깐 만 주방장 에게 바닷물 어 보 고 놀드 겠 습니다 . 곧바로 만들 어서 가져다주 ㅂ시오 . 손 님 이게 양파 끝 뿌리 놀드 들어간 거 라고 드셔도 된다고 합니다 . 저 눈 엔 그렇게 못가 보이 고 지금 따라가 다가 짬뽕 도 식과 어서 다시 만들 어 가져다주 세요 . 카나 알 겠 습니다 곧바로 가져다 드리 겠 네요 . 여기 있 네요 . 죄송 합니다 는데 저 약속 늦 어 못 먹 고 갈고 것 같 네요 는데 계산 해 주 ㅂ시오 . 새로 나온 생선 못 먹 고 놀드 신다고요 ? !?,기타 괴롭힘 대화
어머 오빠 쟤 과연 이리 뚱뚱 해 ... 그러 게 관리 을 전혀 안 했 카나 쟨 분명 솔로 으며 백 퍼센트 솔로 더러워 진짜 야 니 카나 뭐 라 했 노와 네 ? 딴 젊은이 한테 했 는데 그럼 찔리 세요 ? 아서 니 네 시비 것 는 거 구나 천천히 알 았 어야 했 는데 어머 칼 그러 야 ! 도와 주기도 세요 누가 도와 주기도 세요 야 주변 .... 들 한테 말 소리치 걔 들 죽이 으며 방해 하 면 토비 들 도 확 마가 찔리 는 수 놀드 있 다 그만 못가 하 세요 ? 현재 뭐 하 시 ㄴ다는 거 에요 우릴 내리치 면 당신 인생 때문 무사 하 지 못해 나 이미 교도소 수십 번 갔 다 와도 봤 다 그라고 대한민국 에서 사람 한 명의 죽인다고 사형 안 당한 니까 걱정 없 으며 제발 살려 주 ㅂ시오 잘 못 했 는데요 시끄럽 다 너 카나 사람 잘못 건들 였 데이,협박 대화
뭐 야 근데 에드 왜 맨날 보건 실과 가 ? 어디 아파 ? 꾀병 이 꼼짝 아 나 당뇨병 없 어서 인슐린 주사 해야 하 는데 반 오세아니아 할 순 없 더군요 그나마 청결 한 위생 실 가 서 주기도 사 놓 는 것 야 헐 그거 달달 한 거 나 이런 거 많이 먹 ㄴ다는 돼지 들 이 매달리 는 병 아니 야가 ? 아니야 당뇨병 때문 제 1 형 고혈압 제 2 형 고혈압 있 는데 난 그녀 중 에서 도 색계 적 으로 있 ㄴ다는 제 1 형 그러 야 . 그건 에드 핑 계지 안 그래도 달달 한 거 블랑 밥 많이 먹 습니다만 뚱뚱 해서 걸린 것 지 ? 아니 라니까 애초 에 후천 의식적 으로 생기 는 젊은이 들 은 인슐린 탁지부 도 안 해 는데 에이 너 내 놀드 모를 줄 알 기에 거짓말 치 는 것 지 . 나 때문 오 며 가 므로 다 들 었 어서 어른 들 이 달달 한 거 많이 씹 으면 당뇨병 걸리 싶 다 그러 잖아 는데 그니까 먹 는 방법 좀 적당히 먹 꼼짝 . 내 말 못가 들 어 줄 것 면서 왜 물 어서 보 고 왜 에드 마음대로 판단 해서 이야기 해 ? 내 괴로움 대로 판단 한 도록 아니 고 난 엄청 알 고 있 으며 그거 지 . 야가 너 당 떨어졌 나의 봐 예민 한 것 보 니까 빨리 달달 한 거 먹 어서 . 아 맞 으며 너 뚱뚱 해서 달달 한 거 먹 다면 당뇨 오 지 ... 하 . 진짜 놀라 게 하 네 는데 당뇨병 이 면 가로막 소변 에서 달달 한두 냄새 도 난다 습니다만 . 반 성 조금 하 면서 살 으라는 . 먹 을 것 다 먹 고 아파서 부모 님 등골 땋 게 하 지 말로 고 .,기타 괴롭힘 대화
저기요 네 손님 물품 이 뭐 이리 저렴 ? 저 는 마르셀 생 이 라 저 가 가격 을 산정 하 지 않 네요 말대꾸 하 는 것 야 ? 아니요 는데 야 어린 게 싸가지 가 없 어 갖 고 사장 불러 부사장 님 지금 안 계십니다 너 싸 가지 없었 다고 내 가 깎 라고 할 거 야가 그렇게 알 아 카나 ? ?,기타 괴롭힘 대화
넌 목소리 가 과연 그래 ? 듣 적기 싫 어 . 나의 도 내 목소리 놀드 가끔 듣 기 힘들 더라 . 듣 적기 싫 으니까 앞 으로서 너 학교 와서 말로 하 지 마 는데 응 ? 선생 귀하 이 발표 만 못가 시키 면 . 그래 볼게 . 응 그럼 . 진짜 듣 적기 싫 어 앵앵 도대체 목소리 다르 게 내고 볼까 ? 아니 는데 그냥 너 가 낸 소리 다 싫 어서 . 난 너 블랑 잘 지내 고 겠 은데 넌 아닌가 살펴보 구나 . 응 내고 가 왜 너 블랑 잘 지내 ? 울 겠 어 .,기타 괴롭힘 대화
어 사모님 회사 까 는 무슨 일 그러 십니까 ? 제 모친 이 일 하 ㄴ다는 회사 고 저 때문 지분 있 는 데는 오 면 안 이루어지 는 겁니까 ? 음료 나 한 잔 골르 세요 . 아유 아닙니다 . 네 지금 혹시 커피 가져다 드리 싶 습니다 . 아 음료 맛 이 왜 이후 ? 너 나 골탕 먹이 는 거 꼼짝 ? 커피 에 허공 넣 었 어 ... 맛 이 왜 그러 냐고 커피 머신 를 쓰 다가 커피 마스터링 로 바꿔서 그런가 봅니다 . 입맛 에 자주 안 맞 으시 ㄴ다면 제 가 아래 라운지 에서 사 다 드릴게요 . 커피 하나 때문 못 타 는데 월과 을 해서 돈 를 받 아 가 고자 거 야 ? 뭐 정신 으로 그렇게 살아오 아 ? 커피 놀드 바뀌 었 으면 타 다 줘야지 . 엄청 생각 이 짧 아서 ? 죄송 합니다 는데 미쳐 생각 하 꼼짝 못했 습니다 . 현재 바로 사 오 게끔 하 겠 습니다 는데 됐 고 너 나아가 . 그리고 회사 오세아니아 그렇게 일 하 기에 따박따박 월급 받 아서 갈 생각 하 꼼짝 마 . 우리 곁 돈 으로 들 어서 올 돈 을 저렇게 생각 없 는 사우스캐롤라이 한테 주 고 없 으니 회사 가 많이 돌아가 겠 어 ... 죄송 합니다 . 가짜 죄송 합니다 . 제 봐 봐 죄송 합니다 라는 말 만 때때 줄 밖 에 몰르 지 . 그 말로 할 시간 에 밑 가 서 커피 벌써 사 왔 겠 카나 .,직장 내 괴롭힘 대화
도대체 왜 그러 ㄴ다는 거 야 ? 내고 가 뭘 ? 한두 밤중 에 카톡 이에 강제 초대 해서 사망 은 동물 사진 보내주 고 욕설 보내 기에 . 제발 그만 해의 . 무슨 소리 야가 ? 우리 가 그랬 다는 증거 있 어서 ? 맞 아 에드 되게 웃긴다 . 근거 있 냐고 . 에드 네 가 지금 첫날 이렇게 괴롭히 는 도록 증거 아냐 ? 에드 네 나 싫 어서 하 잖아 . 카나 가 싫 은 건과 맞 는데 카톡 으로서 그런 적 없 다니까 . 그럼 너 카나 말 고 누가 그랬 다는 건데 ? 그대 가 그랬 다는 근거 없 으면 사람 델 아 가지 마 는데 맞 아 . 재수없 어 .,기타 괴롭힘 대화
늙 었 으면 절댓값 게 늙 으세요 페드 먹 고 훈계 서덜 하 지 마시 기에 이 . 고 는데 고얀 놈 ! 캐치 어른 한테 무슨 말로 버릇 이 야 캐치 어른 이 면 어린아이 답 게 행동 시키 세요 무례 하 도록 소리 만 지르 기에 소리 크 다고 으며 이기 는 거 아닙니다 나이 만 먹 은데 게 뭐 대수 이라고 뭐 라 했 어서 이놈 이 ! 조금 조용히 하 시 기에 갈 길 가 ㅂ시오 너 ! ! 자녀 님 이 누구 야가 자식 교육 을 뭐 이 따구 로 캐치 부모 욕 하 꼼짝 마시 고요 자기 자기 이나 신경 쓰 ㅂ시오,기타 괴롭힘 대화
이번 에 공사 한가지 하 는데 너 카나 애 들 좀 읽 자 . 이번 이에 도 말 입니까 는데 ? 응 . 읽 던 애 들 그러 편하 고 좋 더라고 이번 엔 안 됩니다 형 님 . 다르 데 애 들 은데 또 비싸 . 그러면 돈 을 좀 주기도 던가 죄송 합니다 는데 힘들 것 같 네요 . 힘들 어 ... 너 진짜 인생 그러 힘들 어 지 기에 싶 어 ? 정말로 왜 그러 십니까 형의 님 . 니 카나 사장 이랑 나 블랑 어떤 관계 인지 울 지 ? 예 울 겠 습니다 .,갈취 대화
너 바람 폈 꼼짝 ? 아니 안 폈 는데 나 에게 근거 사진 이 있 어서 무슨 증거 ? 자마자 이거 봐 이거 에드 맞 잖아 뭐 야가 몰래 촬영 하 ㄴ다는 건 불법 이 야가 내놔 범죄자 가 어찌 말 이 많 아서 . 범죄자 라니 에드 이거 주변 사람 부유층 에게 다 퍼뜨릴 내보 야 넌 이제 겨드랑이 났 어 너 협박죄 로 고소 할거 기에 사진 어서 내놔,협박 대화
저기요 아저씨 . 어디 ? 나 말 시키 는 건가 ? 카나 아저씨 말 하 ㄴ다는 거 예요 . 나의 아저씨 아닌데 . 과연 ? 편의점 에서 대마초 좀 사 다 주기도 세요 . 돈 줄게요 . 학생 아니 야가 ? 담배 피 ㄴ다면 안 되 지 는데 학생 이 든 어떠하 든 무슨 상관 인데요 . 돈 준다니까 오자키 . 안 돼 미성년자 는 담배 피 ㄴ다면 안 돼 . 아서 나 좋 은 말로 로 하 려 했 는데 꼭 칼 로서 협박 해야겠어 ? 펠트 이 라니 . 뭐 내려놔 ! !,협박 대화
길동 씨 이번 이에 이것 좀 처리 해요 이거 제 가 한두 게 아닌데요 팀 오세아니아 내 가 니 놀드 가 어딨 어 ... 그래도 이건 제 놀드 쓴 게 아닌데 저번 인 사고 과 단기간 인 거 알 꼼짝 ? 네 ? 어떠하 이건 제 가 러프 탱 이 쓸 텐데요 이번 꺼 만 해의 주 면 길동 정씨 데리 고 갈께 카나 ? 내 가 신길 씨 계약 만료 시키 자고 할까 . 카나 제 가 처리 할께요,직장 내 괴롭힘 대화
야 너 앞니 과연 그렇게 튀어나왔 냐 ... 태어날 때 부터 그랬 어 물 어 살펴보 지 마 . 아서 그럼 태어날 때 이래 못생기 거 네 ... 괴롭히 지 마 그럼 아니 너 는 내고 가 말 만 시키 면 괴롭혔 다고 소리치 ? 혼자 있 도록 해줘 지 혼자 없 는 거 같 아 말 걸 어 줬 더니 만 나쁜 젊은이 만드 네 그래 올려놓 고 왕따 시켰 으리라 말 하 지나 마가 진짜 성격 이 과연 그따위 야 ? 양육 교육 잘못 받 아서 냐 부모 님 은데 건드리 지 마 어쭈 발끈 한다 지도 자녀 이 라 이거 꼼짝 얘 왜 우 뇰 ? 아니 몰라 꼼짝 혼자 갑자기 화내 그럼 혼자 있 게 해줘 내버려둬 이거 왜 각기 지 혼자 감성 의식적 이 냐 ? 사우스캐롤라이 니 그만 보 라고 했 지 완전 .... 코미디언 아니 냐,기타 괴롭힘 대화
원후 야 학원 교과서 사야 되 는 데는 8 만 원 만이 주 면 안 돼 ? 미안 나 아침 은 진짜 돈 그러 없 어 나 기에 진짜 돈 이 없었 어서 그래 . 에드 비상금 은 ? 그녀 돈 은 정말 읽 면 안 되 ㄴ다는 돈 이야 그냥 달이 라는 게 아니 라고 갚 을 거 야가 . 비상금 은 정말로 안 되 . 과연 이렇게 쪼잔 하 도록 굴 어 ? 그치만 . 내 가 손등 좀 봐 줘야 인격 차려 ? . 첫 이 야,갈취 대화
